,ANOING,SEMING,INGRESSO,INGRESSODESC,COTA,GRANDEAREA,GRANDEAREATEXTO,ETNIA,SEXO,CAMPUS,TURNO,NOMECURSO,SITUACAO,MOTIVOSAIDA,DEFICIENCIA,POSSUIDEFICIENCIA,CAMPUSSIGLA
431,2026,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,TURISMO - 93A,ATIVO,A Especificar,Não Informada,Não,JF
458,2019,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM CIENCIAS HUMANAS,Não se aplica,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73BL,ATIVO,A Especificar,Não Informada,Não,JF
470,2025,2,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - 29LPO,ATIVO,A Especificar,Não Informada,Não,JF
485,2023,2,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,TURISMO - 92A,ATIVO,A Especificar,Não Informada,Não,JF
526,2025,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - 29LPO,ATIVO,A Especificar,Não Informada,Não,JF
553,2021,2,SISU,SISU - GRUPO D,Grupo D,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS - 73A,ATIVO,A Especificar,Não Informada,Não,JF
576,2025,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - 29LPO,ATIVO,A Especificar,Não Informada,Não,JF
667,2024,2,OUTROS,Nova Modalidade/Habilitação,Não se aplica,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PRETA,Feminino,JUIZ DE FORA,INTEGRAL,LETRAS - 13LFR/2ª Habilitação,ATIVO,A Especificar,Não Informada,Não,JF
688,2025,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CET,CIÊNCIAS EXATAS E DA TERRA,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,MATEMÁTICA - 82A,ATIVO,A Especificar,Não Informada,Não,JF
700,2020,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - LIBRAS - 88A,ATIVO,A Especificar,Não Informada,Não,JF
750,2021,2,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
766,2022,1,PISM,Programa de Ingresso Seletivo Misto - Grupo E,Grupo E,LLA,"LINGÜÍSTICA, LETRAS E ARTES",INDIGENA,Feminino,JUIZ DE FORA,INTEGRAL,CINEMA E AUDIOVISUAL - 97A,ATIVO,A Especificar,Não Informada,Não,JF
772,2023,1,SISU,SISU - GRUPO E,Grupo E,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM MODA - 95A,ATIVO,A Especificar,Não Informada,Não,JF
787,2022,1,PISM,Programa de Ingresso Seletivo Misto - Grupo E,Grupo E,LLA,"LINGÜÍSTICA, LETRAS E ARTES",OUTRA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM DESIGN - 98A,ATIVO,A Especificar,Não Informada,Não,JF
789,2025,1,VAGA OCIOSA,Mudança de Curso,Não se aplica,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,MATUTINO,PEDAGOGIA - 17A,ATIVO,A Especificar,Não Informada,Não,JF
790,2023,1,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,TURISMO - 92A,ATIVO,A Especificar,Não Informada,Não,JF
791,2022,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,MATUTINO,PEDAGOGIA - 17A,ATIVO,A Especificar,Não Informada,Não,JF
806,2022,1,SISU,SISU - GRUPO B,Grupo B,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,GEOGRAFIA - 10L,ATIVO,A Especificar,Não Informada,Não,JF
807,2022,1,SISU,SISU - GRUPO B,Grupo B,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,MATUTINO,PEDAGOGIA - 17A,ATIVO,A Especificar,Não Informada,Não,JF
819,2025,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73B,ATIVO,A Especificar,Não Informada,Não,JF
858,2021,1,PISM,Programa de Ingresso Seletivo Misto - Grupo E,Grupo E,ECC,ENGENHARIAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENGENHARIA AMBIENTAL E SANITÁRIA - 67A,ATIVO,A Especificar,Não Informada,Não,JF
886,2025,2,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ABI - FILOSOFIA - 08ABI,ATIVO,A Especificar,Não Informada,Não,JF
899,2020,1,SISU,SISU - GRUPO D1,Grupo D1,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
900,2024,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MÚSICA - 63A,ATIVO,A Especificar,Não Informada,Não,JF
1001,2025,1,SISU,SISU - GRUPO A,Grupo A,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,ABI - LETRAS - 13ABI,ATIVO,A Especificar,Não Informada,Não,JF
1022,2026,1,SISU,SISU - GRUPO E VG Edital,Grupo E,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ABI - FILOSOFIA - 08ABI,ATIVO,A Especificar,Não Informada,Não,JF
1055,2026,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
1127,2024,2,OUTROS,PARFOR Professores - Grupo C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,SEGUNDA LICENCIATURA EM EDUCAÇÃO ESPECIAL INCLUSIVA - 100A,ATIVO,A Especificar,Não Informada,Não,JF
1133,2025,1,OUTROS,OPCAO SEGUNDO CICLO DO B. I. EM CIENCIAS HUMANAS,Não se aplica,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIAS SOCIAIS - 73CL,ATIVO,A Especificar,Não Informada,Não,JF
1148,2024,1,OUTROS,Nova Modalidade/Habilitação,Não se aplica,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,GEOGRAFIA - 10L,ATIVO,A Especificar,Não Informada,Não,JF
1198,2025,1,VAGA OCIOSA,Mudança de Curso,Não se aplica,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ADMINISTRAÇÃO - 26A,ATIVO,A Especificar,Não Informada,Não,JF
1259,2015,2,SISU,SISU - GRUPO D,Grupo D,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
1273,2012,2,VESTIBULAR,Vestibular,Grupo B,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
1297,2023,2,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS - 73A,ATIVO,A Especificar,Não Informada,Não,JF
